,state_po,county,cor_pred,Repnum_x,Demnum_x,Repnum_y,Demnum_y
476,MO,Vernon,3,3,0,3,0
477,OR,Baker,3,3,0,3,0
478,OR,Columbia,3,1,2,1,2
479,MS,Amite,3,3,0,3,0
480,OR,Coos,3,3,0,3,0
481,OR,Crook,3,3,0,3,0
482,OR,Curry,3,3,0,3,0
483,MO,Taney,3,3,0,3,0
484,OR,Deschutes,3,3,0,3,0
485,OR,Douglas,3,3,0,3,0
486,OK,Washington,3,3,0,3,0
487,OK,Wagoner,3,3,0,3,0
488,MO,Washington,3,2,1,2,1
489,MO,Wayne,3,3,0,3,0
490,OK,Tulsa,3,3,0,3,0
491,OK,Tillman,3,3,0,3,0
492,OK,Texas,3,3,0,3,0
493,OK,Stephens,3,3,0,3,0
494,MO,Webster,3,3,0,3,0
495,OK,Sequoyah,3,3,0,3,0
496,OK,Seminole,3,3,0,3,0
497,OK,Rogers,3,3,0,3,0
498,OK,Roger Mills,3,3,0,3,0
499,MO,Worth,3,3,0,3,0
500,MO,Wright,3,3,0,3,0
501,OK,Pushmataha,3,3,0,3,0
502,MS,Alcorn,3,3,0,3,0
503,OK,Greer,3,3,0,3,0
504,OK,Grant,3,3,0,3,0
505,OK,Grady,3,3,0,3,0
506,OH,Union,3,3,0,3,0
507,OH,Shelby,3,3,0,3,0
508,MS,Leake,3,3,0,3,0
509,MS,Lawrence,3,3,0,3,0
510,OH,Trumbull,3,1,2,1,2
511,MS,Lauderdale,3,3,0,3,0
512,MS,Lamar,3,3,0,3,0
513,OH,Vinton,3,3,0,3,0
514,OK,Garvin,3,3,0,3,0
515,OH,Warren,3,3,0,3,0
516,OH,Washington,3,3,0,3,0
517,OH,Wayne,3,3,0,3,0
518,OH,Williams,3,3,0,3,0
519,MS,Lafayette,3,3,0,3,0
520,MS,Jones,3,3,0,3,0
521,OH,Seneca,3,3,0,3,0
522,MS,Lee,3,3,0,3,0
523,MS,Lincoln,3,3,0,3,0
524,MS,Lowndes,3,3,0,3,0
525,OH,Scioto,3,3,0,3,0
526,MS,Madison,3,3,0,3,0
527,OH,Ross,3,3,0,3,0
528,OH,Richland,3,3,0,3,0
529,MS,Marion,3,3,0,3,0
530,MS,Monroe,3,3,0,3,0
531,OH,Putnam,3,3,0,3,0
532,AK,District 10,3,3,0,3,0
